Plate ID	Well 	Sample ID	User ID	Date 	Time 	conc. 	units 	nm 	Abs. 	Cursor Pos.	Cursor abs.	Norm nm	Norm Abs
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	A1	SMM_control_A	A. Reder	9/12/2019	4:06 PM		mg/ml	562	0.549	562	0.549	750	0.043
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	B1	SMM_control_B	A. Reder	9/12/2019	4:06 PM		mg/ml	562	0.540	562	0.540	750	0.033
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	C1	SMM_control_C	A. Reder	9/12/2019	4:06 PM		mg/ml	562	0.510	562	0.510	750	0.034
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	D1	SMM_EtOH_t10_A	A. Reder	9/12/2019	4:06 PM		mg/ml	562	0.477	562	0.477	750	0.029
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	E1	SMM_EtOH_t10_B	A. Reder	9/12/2019	4:06 PM	0.1656	mg/ml	562	0.457	562	0.457	750	0.026
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	F1	SMM_EtOH_t10_C	A. Reder	9/12/2019	4:06 PM	0.1619	mg/ml	562	0.447	562	0.447	750	0.025
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	G1	SMM_EtOH_t30_A	A. Reder	9/12/2019	4:06 PM	0.1538	mg/ml	562	0.427	562	0.427	750	-0.011
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	H1	SMM_EtOH_t30_B	A. Reder	9/12/2019	4:06 PM	0.1430	mg/ml	562	0.399	562	0.399	750	0.021
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	A2	SMM_control_A	A. Reder	9/12/2019	4:08 PM		mg/ml	562	0.486	562	0.486	750	0.021
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	B2	SMM_control_B	A. Reder	9/12/2019	4:08 PM		mg/ml	562	0.515	562	0.515	750	0.019
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	C2	SMM_control_C	A. Reder	9/12/2019	4:08 PM	0.1668	mg/ml	562	0.460	562	0.460	750	0.018
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	D2	SMM_EtOH_t10_A	A. Reder	9/12/2019	4:08 PM	0.1526	mg/ml	562	0.424	562	0.424	750	0.019
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	E2	SMM_EtOH_t10_B	A. Reder	9/12/2019	4:08 PM	0.1365	mg/ml	562	0.383	562	0.383	750	0.022
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	F2	SMM_EtOH_t10_C	A. Reder	9/12/2019	4:08 PM	0.1353	mg/ml	562	0.380	562	0.380	750	0.021
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	G2	SMM_EtOH_t30_A	A. Reder	9/12/2019	4:08 PM	0.1279	mg/ml	562	0.361	562	0.361	750	0.020
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	H2	SMM_EtOH_t30_B	A. Reder	9/12/2019	4:08 PM	0.1224	mg/ml	562	0.347	562	0.347	750	0.019
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	A3	SMM_EtOH_t30_C	A. Reder	9/12/2019	4:09 PM	0.1488	mg/ml	562	0.414	562	0.414	750	0.020
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	B3	SMM_Heat_t10_A	A. Reder	9/12/2019	4:09 PM	0.1531	mg/ml	562	0.425	562	0.425	750	0.016
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	C3	SMM_Heat_t10_B	A. Reder	9/12/2019	4:09 PM	0.1611	mg/ml	562	0.445	562	0.445	750	0.023
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	D3	SMM_Heat_t10_C	A. Reder	9/12/2019	4:09 PM	0.1467	mg/ml	562	0.409	562	0.409	750	0.021
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	E3	SMM_Heat_t30_A	A. Reder	9/12/2019	4:09 PM	0.1444	mg/ml	562	0.403	562	0.403	750	0.018
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	F3	SMM_Heat_t30_B	A. Reder	9/12/2019	4:09 PM	0.1494	mg/ml	562	0.415	562	0.415	750	0.018
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	G3	SMM_Heat_t30_C	A. Reder	9/12/2019	4:09 PM	0.1444	mg/ml	562	0.403	562	0.403	750	0.024
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	H3	SMM_Salt_t10_A	A. Reder	9/12/2019	4:09 PM	0.09240	mg/ml	562	0.270	562	0.270	750	0.016
microBCA_microtiter_plate_layout__Bacillus_subtilis_stress_conditions	A4	SMM_EtOH_t30_C	A. Reder	9/12/2019	4:10 PM	0.1489	mg/ml	562	0.414	562	0.414	750	0.018
