locus tag	organism	pan locus tag	new symbol	type	symbol	synonym	product	essential	Gene ID	EC	TIGRFAM Meta Role	TIGRFAM Main Role	TIGRFAM Sub Role	TIGRFAM function	TIGRFAM	TIGRFAM HMM score	effector	interaction partners	PSORTb	LocateP	SignalP	transmembrane helices	protein GI	UniProt
SAOUHSC_00003	S. aureus NCTC8325	SAUPAN000009000	SAOUHSC_00003	CDS	SAOUHSC_00003		hypothetical protein	yes	3919176		Genetic information processing	DNA metabolism	DNA replication, recombination, and repair	S4 domain protein YaaA	TIGR02988	90		"SAOUHSC_00069; SAOUHSC_00100; SAOUHSC_00187; SAOUHSC_00225; SAOUHSC_00336; SAOUHSC_00365; SAOUHSC_00444; SAOUHSC_00493; SAOUHSC_00505; SAOUHSC_00509; SAOUHSC_00517; SAOUHSC_00518; SAOUHSC_00520; SAOUHSC_00524; SAOUHSC_00527; SAOUHSC_00529; SAOUHSC_00530; SAOUHSC_00574; SAOUHSC_00608; SAOUHSC_00655; SAOUHSC_00669; SAOUHSC_00679; SAOUHSC_00690; SAOUHSC_00694; SAOUHSC_00743; SAOUHSC_00795; SAOUHSC_00796; SAOUHSC_00797; SAOUHSC_00798; SAOUHSC_00799; SAOUHSC_00835; SAOUHSC_00895; SAOUHSC_00900; SAOUHSC_00937; SAOUHSC_00951; SAOUHSC_01007; SAOUHSC_01028; SAOUHSC_01036; SAOUHSC_01100; SAOUHSC_01159; SAOUHSC_01199; SAOUHSC_01216; SAOUHSC_01234; SAOUHSC_01287; SAOUHSC_01327; SAOUHSC_01373; SAOUHSC_01403; SAOUHSC_01490; SAOUHSC_01493; SAOUHSC_01605; SAOUHSC_01625; SAOUHSC_01632; SAOUHSC_01653; SAOUHSC_01666; SAOUHSC_01683; SAOUHSC_01737; SAOUHSC_01801; SAOUHSC_01802; SAOUHSC_01820; SAOUHSC_01822; SAOUHSC_01845; SAOUHSC_01868; SAOUHSC_01901; SAOUHSC_01910; SAOUHSC_02102; SAOUHSC_02116; SAOUHSC_02254; SAOUHSC_02318; SAOU"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88193826	Q2G276
SAOUHSC_00010	S. aureus NCTC8325	SAUPAN000018000	SAOUHSC_00010	CDS	SAOUHSC_00010		hypothetical protein	no	3919183		Metabolism	Transport and binding proteins	Amino acids, peptides and amines	azaleucine resistance protein AzlC	TIGR00346	89.7			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88193833	Q2G2P6
SAOUHSC_00012	S. aureus NCTC8325	SAUPAN000019000	SAOUHSC_00012	CDS	SAOUHSC_00012		hypothetical protein	no	3919184		Genetic information processing	Protein fate	Protein and peptide secretion and trafficking	type II secretion system protein F	TIGR02120	9.3			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88193834	Q2G2T5
SAOUHSC_00014	S. aureus NCTC8325	SAUPAN000023000	SAOUHSC_00014	CDS	SAOUHSC_00014		hypothetical protein	no	3919186										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88193836	Q2G2T2
SAOUHSC_00015	S. aureus NCTC8325	SAUPAN000024000	SAOUHSC_00015	CDS	SAOUHSC_00015		hypothetical protein	yes	3919187		Signal transduction	Signal transduction	Two-component systems	phosphate regulon sensor kinase PhoR	TIGR02966	17.5			Cytoplasmic	Multi-transmembrane	no predicted signal peptide	2	88193837	Q2G2T6
SAOUHSC_00026	S. aureus NCTC8325	SAUPAN000039000	SAOUHSC_00026	CDS	SAOUHSC_00026		hypothetical protein	no	3919294										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88193847	Q2G249
SAOUHSC_00028	S. aureus NCTC8325	SAUPAN000830000	SAOUHSC_00028	CDS	SAOUHSC_00028		hypothetical protein	no	3919296										Cytoplasmic Membrane	N-terminally anchored (No CS)	no predicted signal peptide	1	88193849	Q2G251
SAOUHSC_00029	S. aureus NCTC8325	SAUPAN000831000	SAOUHSC_00029	CDS	SAOUHSC_00029		hypothetical protein	no	3919297										Extracellular	Intracellular	no predicted signal peptide	0	88193850	Q2G250
SAOUHSC_00030	S. aureus NCTC8325	SAUPAN000832000	SAOUHSC_00030	CDS	SAOUHSC_00030		hypothetical protein	no	3919298					sporadically distributed protein, TIGR04141 family	TIGR04141	90.6			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193851	Q2G2E9
SAOUHSC_00031	S. aureus NCTC8325	SAUPAN000051000	SAOUHSC_00031	CDS	SAOUHSC_00031		hypothetical protein	no	3919299			Unknown function	General	putative TIM-barrel protein, nifR3 family	TIGR00737	46.9			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193852	Q2G2E8
SAOUHSC_00032	S. aureus NCTC8325	SAUPAN000490000	SAOUHSC_00032	CDS	SAOUHSC_00032		hypothetical protein	no	3919300										Extracellular	Intracellular	no predicted signal peptide	0	88193853	Q2G2E6
SAOUHSC_00038	S. aureus NCTC8325	SAUPAN000751000	SAOUHSC_00038	CDS	SAOUHSC_00038		hypothetical protein	no	3919306										Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88193859	Q2G1R4
SAOUHSC_00039	S. aureus NCTC8325	SAUPAN000382000	SAOUHSC_00039	CDS	SAOUHSC_00039		hypothetical protein	no	3919307	1.3.1.-		Unknown function	General	putative TIM-barrel protein, nifR3 family	TIGR00737	152.5			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193860	Q2G1R3
SAOUHSC_00040	S. aureus NCTC8325	SAUPAN000383000	SAOUHSC_00040	CDS	SAOUHSC_00040		hypothetical protein	no	3919308										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	2	88193861	Q2G1R2
SAOUHSC_00041	S. aureus NCTC8325	SAUPAN000384000	SAOUHSC_00041	CDS	SAOUHSC_00041		hypothetical protein	no	3919309										no significant prediction	Intracellular	no predicted signal peptide	0	88193862	Q2G1R1
SAOUHSC_00042	S. aureus NCTC8325	SAUPAN000385000	SAOUHSC_00042	CDS	SAOUHSC_00042		hypothetical protein	no	3919310		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	H+ Antiporter protein	TIGR00900	165.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	12	88193863	Q2G1R0
SAOUHSC_00043	S. aureus NCTC8325	SAUPAN000386000	SAOUHSC_00043	CDS	SAOUHSC_00043		hypothetical protein	no	3919311		Metabolism	Central intermediary metabolism	Sulfur metabolism	FMN reductase	TIGR03567	24.3			no significant prediction	Intracellular	no predicted signal peptide	0	88193864	Q2G1Q9
SAOUHSC_00044	S. aureus NCTC8325	SAUPAN000387000	SAOUHSC_00044	CDS	SAOUHSC_00044		hypothetical protein	no	3919077		Signal transduction	Regulatory functions	DNA interactions	aminoethylphosphonate catabolism associated LysR family transcriptional regulator	TIGR03339	82.8			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193865	Q2G1Q8
SAOUHSC_00045	S. aureus NCTC8325	SAUPAN000846000	SAOUHSC_00045	CDS	SAOUHSC_00045		hypothetical protein	no	3919078										Cytoplasmic	Intracellular	no predicted signal peptide	0	88193866	Q2G1Q7
SAOUHSC_00046	S. aureus NCTC8325	SAUPAN000670000	SAOUHSC_00046	CDS	SAOUHSC_00046		hypothetical protein	no	3919079		"Genetic information processing; Signal transduction; Cellular processes"	"DNA metabolism; Regulatory functions; Cellular processes"	"DNA replication, recombination, and repair; DNA interactions; Toxin production and resistance"	transcriptional regulator, ArgP family	TIGR03298	50.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193867	Q2G1Q6
SAOUHSC_00047	S. aureus NCTC8325	SAUPAN000148000	SAOUHSC_00047	CDS	SAOUHSC_00047		hypothetical protein	no	3919080					integral membrane protein	TIGR04561	12.7			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	5	88193868	Q2G1Q5
SAOUHSC_00049	S. aureus NCTC8325	SAUPAN000849000	SAOUHSC_00049	CDS	SAOUHSC_00049		hypothetical protein	no	3919081		Genetic information processing	DNA metabolism	DNA replication, recombination, and repair	putative DNA helicase	TIGR00376	37.5			no significant prediction	Intracellular	no predicted signal peptide	0	88193869	Q2G1Q4
SAOUHSC_00050	S. aureus NCTC8325	SAUPAN000853000	SAOUHSC_00050	CDS	SAOUHSC_00050		hypothetical protein	no	3919082		Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	oligosaccharide repeat unit polymerase	TIGR04370	16.8			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88193870	Q2G1Q3
SAOUHSC_00053	S. aureus NCTC8325	SAUPAN000859000	SAOUHSC_00053	CDS	SAOUHSC_00053		hypothetical protein	no	3919085					Staphylococcus tandem lipoproteins	TIGR01742	372.3			no significant prediction	Lipid anchored	signal peptide predicted	1	88193873	Q2G1Q0
SAOUHSC_00054	S. aureus NCTC8325	SAUPAN000862000	SAOUHSC_00054	CDS	SAOUHSC_00054		hypothetical protein	no	3919086					Staphylococcus tandem lipoproteins	TIGR01742	391.4			no significant prediction	Lipid anchored	no predicted signal peptide	1	88193874	Q2G1P9
SAOUHSC_00055	S. aureus NCTC8325	SAUPAN000861000	SAOUHSC_00055	CDS	SAOUHSC_00055		hypothetical protein	no	3919087					Staphylococcus tandem lipoproteins	TIGR01742	423.4			no significant prediction	Lipid anchored	no predicted signal peptide	1	88193875	Q2G1P8
SAOUHSC_00056	S. aureus NCTC8325	SAUPAN000891000	SAOUHSC_00056	CDS	SAOUHSC_00056		hypothetical protein	no	3919088					YSIRK-targeted surface antigen transcriptional regulator	TIGR04094	58.8			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193876	Q2G1P7
SAOUHSC_00057	S. aureus NCTC8325	SAUPAN000893000	SAOUHSC_00057	CDS	SAOUHSC_00057		hypothetical protein	no	3919089		Genetic information processing	Protein fate	Degradation of proteins, peptides, and glycopeptides	amidohydrolase	TIGR01891	349.9			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193877	Q2G1P6
